month,state,district,bio_age_5_17,bio_age_17_
2025-03-01,Andaman & Nicobar Islands,Andamans,16,193
2025-03-01,Andaman and Nicobar Islands,Nicobar,178,101
2025-03-01,Andaman and Nicobar Islands,North And Middle Andaman,470,347
2025-03-01,Andaman and Nicobar Islands,South Andaman,948,450
2025-03-01,Andhra Pradesh,Adilabad,897,4366
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,585,1408
2025-03-01,Andhra Pradesh,Anakapalli,218,234
2025-03-01,Andhra Pradesh,Anantapur,3363,6499
2025-03-01,Andhra Pradesh,Ananthapur,11722,2215
2025-03-01,Andhra Pradesh,Ananthapuramu,14063,2087
2025-03-01,Andhra Pradesh,Annamayya,235,270
2025-03-01,Andhra Pradesh,Bapatla,114,131
2025-03-01,Andhra Pradesh,Chittoor,18773,9414
2025-03-01,Andhra Pradesh,Cuddapah,11599,5222
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,116,181
2025-03-01,Andhra Pradesh,East Godavari,18286,11512
2025-03-01,Andhra Pradesh,Eluru,171,308
2025-03-01,Andhra Pradesh,Guntur,19655,11604
2025-03-01,Andhra Pradesh,Hyderabad,2070,9936
2025-03-01,Andhra Pradesh,K.v. Rangareddy,11,6
2025-03-01,Andhra Pradesh,Kakinada,203,317
2025-03-01,Andhra Pradesh,Karim Nagar,26,117
2025-03-01,Andhra Pradesh,Karimnagar,269,1150
2025-03-01,Andhra Pradesh,Khammam,1070,2855
2025-03-01,Andhra Pradesh,Krishna,16816,9887
2025-03-01,Andhra Pradesh,Kurnool,27662,10576
2025-03-01,Andhra Pradesh,Mahabub Nagar,45,269
2025-03-01,Andhra Pradesh,Mahbubnagar,274,1114
2025-03-01,Andhra Pradesh,Medak,421,1488
2025-03-01,Andhra Pradesh,N. T. R,380,740
2025-03-01,Andhra Pradesh,Nalgonda,292,1601
2025-03-01,Andhra Pradesh,Nandyal,283,280
2025-03-01,Andhra Pradesh,Nellore,5113,6240
2025-03-01,Andhra Pradesh,Nizamabad,233,677
2025-03-01,Andhra Pradesh,Palnadu,293,311
2025-03-01,Andhra Pradesh,Parvathipuram Manyam,362,487
2025-03-01,Andhra Pradesh,Prakasam,11991,7242
2025-03-01,Andhra Pradesh,Rangareddi,1114,5136
2025-03-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,110,172
2025-03-01,Andhra Pradesh,Sri Sathya Sai,738,463
2025-03-01,Andhra Pradesh,Srikakulam,22984,6997
2025-03-01,Andhra Pradesh,Tirupati,268,382
2025-03-01,Andhra Pradesh,Visakhapatnam,21850,15143
2025-03-01,Andhra Pradesh,Vizianagaram,11966,6473
2025-03-01,Andhra Pradesh,Warangal,1215,4034
2025-03-01,Andhra Pradesh,West Godavari,15662,9674
2025-03-01,Andhra Pradesh,Y. S. R,259,301
2025-03-01,Arunachal Pradesh,Anjaw,55,79
2025-03-01,Arunachal Pradesh,Changlang,483,339
2025-03-01,Arunachal Pradesh,Dibang Valley,15,41
2025-03-01,Arunachal Pradesh,East Kameng,189,244
2025-03-01,Arunachal Pradesh,East Siang,134,131
2025-03-01,Arunachal Pradesh,Kra Daadi,75,122
2025-03-01,Arunachal Pradesh,Kurung Kumey,93,536
2025-03-01,Arunachal Pradesh,Lohit,100,364
2025-03-01,Arunachal Pradesh,Longding,133,129
2025-03-01,Arunachal Pradesh,Lower Dibang Valley,80,117
2025-03-01,Arunachal Pradesh,Lower Siang,26,12
2025-03-01,Arunachal Pradesh,Lower Subansiri,81,128
2025-03-01,Arunachal Pradesh,Namsai,213,274
2025-03-01,Arunachal Pradesh,Pakke Kessang,12,6
2025-03-01,Arunachal Pradesh,Papum Pare,345,717
2025-03-01,Arunachal Pradesh,Shi-yomi,14,12
2025-03-01,Arunachal Pradesh,Siang,54,63
2025-03-01,Arunachal Pradesh,Tawang,120,78
2025-03-01,Arunachal Pradesh,Tirap,61,41
2025-03-01,Arunachal Pradesh,Upper Siang,53,72
2025-03-01,Arunachal Pradesh,Upper Subansiri,217,342
2025-03-01,Arunachal Pradesh,West Kameng,188,425
2025-03-01,Arunachal Pradesh,West Siang,212,175
2025-03-01,Assam,Baksa,1333,527
2025-03-01,Assam,Barpeta,8751,2053
2025-03-01,Assam,Biswanath,524,317
2025-03-01,Assam,Bongaigaon,3011,1170
2025-03-01,Assam,Cachar,1988,2199
2025-03-01,Assam,Charaideo,415,202
2025-03-01,Assam,Chirang,1611,679
2025-03-01,Assam,Darrang,663,942
2025-03-01,Assam,Dhemaji,1622,834
2025-03-01,Assam,Dhubri,6765,1655
2025-03-01,Assam,Dibrugarh,1444,2315
2025-03-01,Assam,Goalpara,715,734
2025-03-01,Assam,Golaghat,704,704
2025-03-01,Assam,Hailakandi,355,439
2025-03-01,Assam,Hojai,1585,1239
2025-03-01,Assam,Jorhat,867,571
2025-03-01,Assam,Kamrup,2602,1197
2025-03-01,Assam,Kamrup Metro,1936,1525
2025-03-01,Assam,Karbi Anglong,1984,1047
2025-03-01,Assam,Karimganj,963,859
2025-03-01,Assam,Kokrajhar,3407,873
2025-03-01,Assam,Lakhimpur,1470,1353
2025-03-01,Assam,Majuli,343,101
2025-03-01,Assam,Marigaon,2305,1218
2025-03-01,Assam,Nagaon,3208,5081
2025-03-01,Assam,Nalbari,2028,335
2025-03-01,Assam,North Cachar Hills,79,104
2025-03-01,Assam,Sibsagar,801,310
2025-03-01,Assam,Sonitpur,1830,1158
2025-03-01,Assam,South Salmara Mankachar,249,133
2025-03-01,Assam,Tinsukia,1135,846
2025-03-01,Assam,Udalguri,2332,951
2025-03-01,Assam,West Karbi Anglong,76,159
2025-03-01,Bihar,Araria,13043,13990
2025-03-01,Bihar,Arwal,1438,3294
2025-03-01,Bihar,Aurangabad,6082,7741
2025-03-01,Bihar,Banka,6904,7892
2025-03-01,Bihar,Begusarai,13077,12307
2025-03-01,Bihar,Bhagalpur,13344,11954
2025-03-01,Bihar,Bhojpur,5124,12146
2025-03-01,Bihar,Buxar,3200,5001
2025-03-01,Bihar,Darbhanga,13331,17721
2025-03-01,Bihar,East Champaran,13825,20084
2025-03-01,Bihar,Gaya,16486,21241
2025-03-01,Bihar,Gopalganj,6451,7603
2025-03-01,Bihar,Jamui,6531,6134
2025-03-01,Bihar,Jehanabad,2391,4017
2025-03-01,Bihar,Kaimur (Bhabua),6479,7450
2025-03-01,Bihar,Katihar,16676,16958
2025-03-01,Bihar,Khagaria,6128,6877
2025-03-01,Bihar,Kishanganj,7612,8682
2025-03-01,Bihar,Lakhisarai,3715,3972
2025-03-01,Bihar,Madhepura,6355,11462
2025-03-01,Bihar,Madhubani,16996,20887
2025-03-01,Bihar,Munger,3099,4705
2025-03-01,Bihar,Muzaffarpur,13651,18161
2025-03-01,Bihar,Nalanda,6154,11926
2025-03-01,Bihar,Nawada,6780,9577
2025-03-01,Bihar,Patna,11916,18174
2025-03-01,Bihar,Purnea,112,435
2025-03-01,Bihar,Purnia,13497,17552
2025-03-01,Bihar,Rohtas,7472,9366
2025-03-01,Bihar,Saharsa,6272,12430
2025-03-01,Bihar,Samastipur,13667,19484
2025-03-01,Bihar,Saran,7779,13089
2025-03-01,Bihar,Sheikhpura,1885,3455
2025-03-01,Bihar,Sheohar,1803,3248
2025-03-01,Bihar,Sitamarhi,11896,16604
2025-03-01,Bihar,Siwan,6752,10438
2025-03-01,Bihar,Supaul,6821,11721
2025-03-01,Bihar,Vaishali,9704,16175
2025-03-01,Bihar,West Champaran,9731,15377
2025-03-01,Chandigarh,Chandigarh,3053,3377
2025-03-01,Chhattisgarh,Balod,982,4832
2025-03-01,Chhattisgarh,Baloda Bazar,1619,5092
2025-03-01,Chhattisgarh,Balrampur,522,1411
2025-03-01,Chhattisgarh,Bastar,990,4272
2025-03-01,Chhattisgarh,Bemetara,1030,7139
2025-03-01,Chhattisgarh,Bijapur,1452,1742
2025-03-01,Chhattisgarh,Bilaspur,2414,9589
2025-03-01,Chhattisgarh,Dakshin Bastar Dantewada,439,1084
2025-03-01,Chhattisgarh,Dantewada,189,525
2025-03-01,Chhattisgarh,Dhamtari,748,5784
2025-03-01,Chhattisgarh,Durg,2548,10749
2025-03-01,Chhattisgarh,Gariyaband,471,1694
2025-03-01,Chhattisgarh,Gaurela-pendra-marwahi,11,105
2025-03-01,Chhattisgarh,Janjgir-champa,2728,10158
2025-03-01,Chhattisgarh,Jashpur,823,3469
2025-03-01,Chhattisgarh,Kabeerdham,407,1250
2025-03-01,Chhattisgarh,Kanker,547,2455
2025-03-01,Chhattisgarh,Kawardha,712,3363
2025-03-01,Chhattisgarh,Kondagaon,472,2224
2025-03-01,Chhattisgarh,Korba,5729,6814
2025-03-01,Chhattisgarh,Koriya,860,3347
2025-03-01,Chhattisgarh,Mahasamund,1257,5727
2025-03-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,22,123
2025-03-01,Chhattisgarh,Mungeli,936,2497
2025-03-01,Chhattisgarh,Narayanpur,504,1544
2025-03-01,Chhattisgarh,Raigarh,2241,7408
2025-03-01,Chhattisgarh,Raipur,2737,9682
2025-03-01,Chhattisgarh,Rajnandgaon,1554,9521
2025-03-01,Chhattisgarh,Sakti,10,49
2025-03-01,Chhattisgarh,Sukma,398,1033
2025-03-01,Chhattisgarh,Surajpur,741,4336
2025-03-01,Chhattisgarh,Surguja,981,3883
2025-03-01,Chhattisgarh,Uttar Bastar Kanker,181,1236
2025-03-01,Dadra & Nagar Haveli,Dadra & Nagar Haveli,13,126
2025-03-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,932,2268
2025-03-01,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,99,287
2025-03-01,Dadra and Nagar Haveli and Daman and Diu,Daman,20,53
