month,state,district,demo_age_5_17,demo_age_17_
2025-03-01,Andaman and Nicobar Islands,Nicobar,32,360
2025-03-01,Andaman and Nicobar Islands,North And Middle Andaman,20,402
2025-03-01,Andaman and Nicobar Islands,South Andaman,74,450
2025-03-01,Andhra Pradesh,Adilabad,390,3950
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,507,4448
2025-03-01,Andhra Pradesh,Anakapalli,373,2791
2025-03-01,Andhra Pradesh,Anantapur,953,19013
2025-03-01,Andhra Pradesh,Ananthapur,2020,7310
2025-03-01,Andhra Pradesh,Ananthapuramu,2547,7891
2025-03-01,Andhra Pradesh,Annamayya,526,3272
2025-03-01,Andhra Pradesh,Bapatla,232,1653
2025-03-01,Andhra Pradesh,Chittoor,4070,38298
2025-03-01,Andhra Pradesh,Cuddapah,1786,16961
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,240,2136
2025-03-01,Andhra Pradesh,East Godavari,3391,37620
2025-03-01,Andhra Pradesh,Eluru,283,2536
2025-03-01,Andhra Pradesh,Guntur,3060,40302
2025-03-01,Andhra Pradesh,Hyderabad,695,6045
2025-03-01,Andhra Pradesh,Kakinada,638,4748
2025-03-01,Andhra Pradesh,Karimnagar,93,766
2025-03-01,Andhra Pradesh,Khammam,431,4962
2025-03-01,Andhra Pradesh,Krishna,1711,21831
2025-03-01,Andhra Pradesh,Kurnool,3650,31715
2025-03-01,Andhra Pradesh,Mahabub Nagar,26,184
2025-03-01,Andhra Pradesh,Mahbubnagar,169,1133
2025-03-01,Andhra Pradesh,Medak,215,1387
2025-03-01,Andhra Pradesh,N. T. R,775,6936
2025-03-01,Andhra Pradesh,Nalgonda,146,2240
2025-03-01,Andhra Pradesh,Nandyal,339,2135
2025-03-01,Andhra Pradesh,Nellore,944,16115
2025-03-01,Andhra Pradesh,Nizamabad,53,476
2025-03-01,Andhra Pradesh,Palnadu,323,2765
2025-03-01,Andhra Pradesh,Parvathipuram Manyam,201,1664
2025-03-01,Andhra Pradesh,Prakasam,2116,27970
2025-03-01,Andhra Pradesh,Rangareddi,463,3060
2025-03-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,392,2890
2025-03-01,Andhra Pradesh,Sri Sathya Sai,535,2386
2025-03-01,Andhra Pradesh,Srikakulam,5275,37687
2025-03-01,Andhra Pradesh,Tirupati,478,4139
2025-03-01,Andhra Pradesh,Visakhapatnam,3222,36984
2025-03-01,Andhra Pradesh,Vizianagaram,2141,20324
2025-03-01,Andhra Pradesh,Warangal,728,6167
2025-03-01,Andhra Pradesh,West Godavari,2189,27673
2025-03-01,Andhra Pradesh,Y. S. R,274,1877
2025-03-01,Arunachal Pradesh,Anjaw,24,210
2025-03-01,Arunachal Pradesh,Changlang,73,1120
2025-03-01,Arunachal Pradesh,East Siang,19,151
2025-03-01,Arunachal Pradesh,Kra Daadi,26,105
2025-03-01,Arunachal Pradesh,Lohit,30,234
2025-03-01,Arunachal Pradesh,Longding,45,285
2025-03-01,Arunachal Pradesh,Lower Dibang Valley,36,249
2025-03-01,Arunachal Pradesh,Lower Siang,22,66
2025-03-01,Arunachal Pradesh,Lower Subansiri,41,280
2025-03-01,Arunachal Pradesh,Namsai,50,553
2025-03-01,Arunachal Pradesh,Papum Pare,163,1311
2025-03-01,Arunachal Pradesh,Siang,25,159
2025-03-01,Arunachal Pradesh,Tawang,27,117
2025-03-01,Arunachal Pradesh,Tirap,18,235
2025-03-01,Arunachal Pradesh,Upper Siang,12,40
2025-03-01,Arunachal Pradesh,Upper Subansiri,106,570
2025-03-01,Arunachal Pradesh,West Kameng,25,116
2025-03-01,Arunachal Pradesh,West Siang,110,1156
2025-03-01,Assam,Baksa,397,4438
2025-03-01,Assam,Barpeta,821,9181
2025-03-01,Assam,Biswanath,227,2732
2025-03-01,Assam,Bongaigaon,699,8681
2025-03-01,Assam,Cachar,1234,10000
2025-03-01,Assam,Charaideo,145,1953
2025-03-01,Assam,Chirang,179,1711
2025-03-01,Assam,Darrang,661,5819
2025-03-01,Assam,Dhemaji,534,5979
2025-03-01,Assam,Dhubri,1070,10824
2025-03-01,Assam,Dibrugarh,338,5542
2025-03-01,Assam,Goalpara,768,6461
2025-03-01,Assam,Golaghat,587,8416
2025-03-01,Assam,Hailakandi,211,1822
2025-03-01,Assam,Hojai,319,3439
2025-03-01,Assam,Jorhat,320,5231
2025-03-01,Assam,Kamrup,319,5222
2025-03-01,Assam,Kamrup Metro,579,5320
2025-03-01,Assam,Karbi Anglong,675,6192
2025-03-01,Assam,Karimganj,567,5374
2025-03-01,Assam,Kokrajhar,538,3272
2025-03-01,Assam,Lakhimpur,577,9766
2025-03-01,Assam,Majuli,55,569
2025-03-01,Assam,Marigaon,1006,7948
2025-03-01,Assam,Nagaon,1216,16723
2025-03-01,Assam,Nalbari,509,4658
2025-03-01,Assam,North Cachar Hills,74,648
2025-03-01,Assam,Sibsagar,146,1460
2025-03-01,Assam,Sonitpur,802,9796
2025-03-01,Assam,South Salmara Mankachar,197,3153
2025-03-01,Assam,Tinsukia,499,7786
2025-03-01,Assam,Udalguri,367,4869
2025-03-01,Assam,West Karbi Anglong,56,360
2025-03-01,Bihar,Araria,2774,32707
2025-03-01,Bihar,Arwal,558,5961
2025-03-01,Bihar,Aurangabad,2788,23698
2025-03-01,Bihar,Banka,2100,23353
2025-03-01,Bihar,Begusarai,3601,28482
2025-03-01,Bihar,Bhagalpur,4949,37353
2025-03-01,Bihar,Bhojpur,2688,29327
2025-03-01,Bihar,Buxar,1661,18351
2025-03-01,Bihar,Darbhanga,2612,28474
2025-03-01,Bihar,East Champaran,4175,47030
2025-03-01,Bihar,Gaya,5828,49924
2025-03-01,Bihar,Gopalganj,2129,22709
2025-03-01,Bihar,Jamui,1393,15286
2025-03-01,Bihar,Jehanabad,988,8898
2025-03-01,Bihar,Kaimur (Bhabua),847,8728
2025-03-01,Bihar,Katihar,2845,33082
2025-03-01,Bihar,Khagaria,1450,12708
2025-03-01,Bihar,Kishanganj,1811,25016
2025-03-01,Bihar,Lakhisarai,777,7918
2025-03-01,Bihar,Madhepura,1283,17649
2025-03-01,Bihar,Madhubani,3407,41495
2025-03-01,Bihar,Munger,992,13363
2025-03-01,Bihar,Muzaffarpur,4456,42818
2025-03-01,Bihar,Nalanda,2310,21564
2025-03-01,Bihar,Nawada,1429,16428
2025-03-01,Bihar,Patna,4807,41971
2025-03-01,Bihar,Purnia,2194,26114
2025-03-01,Bihar,Rohtas,2121,19596
2025-03-01,Bihar,Saharsa,1584,18727
2025-03-01,Bihar,Samastipur,4382,44385
2025-03-01,Bihar,Saran,3695,41077
2025-03-01,Bihar,Sheikhpura,490,5055
2025-03-01,Bihar,Sheohar,778,7797
2025-03-01,Bihar,Sitamarhi,3044,36696
2025-03-01,Bihar,Siwan,2637,26684
2025-03-01,Bihar,Supaul,1661,29320
2025-03-01,Bihar,Vaishali,3660,39009
2025-03-01,Bihar,West Champaran,4317,42725
2025-03-01,Chandigarh,Chandigarh,1296,8949
2025-03-01,Chhattisgarh,Balod,827,10913
2025-03-01,Chhattisgarh,Baloda Bazar,369,16044
2025-03-01,Chhattisgarh,Balrampur,392,4458
2025-03-01,Chhattisgarh,Bastar,878,10394
2025-03-01,Chhattisgarh,Bemetara,354,10548
