month,state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrolments,total_demo_updates,total_bio_updates,demo_update_ratio,bio_update_ratio
2025-03-01,Andhra Pradesh,Spsr Nellore,43,44,29,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0
2025-03-01,Assam,Baksa,11,14,13,397.0,4438.0,1333.0,527.0,38,4835.0,1860.0,127.23684210526316,48.94736842105263
2025-03-01,Assam,Barpeta,24,34,10,821.0,9181.0,8751.0,2053.0,68,10002.0,10804.0,147.08823529411765,158.88235294117646
2025-03-01,Assam,Bongaigaon,25,33,31,699.0,8681.0,3011.0,1170.0,89,9380.0,4181.0,105.3932584269663,46.97752808988764
2025-03-01,Assam,Chirang,12,29,15,179.0,1711.0,1611.0,679.0,56,1890.0,2290.0,33.75,40.892857142857146
2025-03-01,Assam,Dhemaji,20,46,19,534.0,5979.0,1622.0,834.0,85,6513.0,2456.0,76.62352941176471,28.894117647058824
2025-03-01,Assam,Dhubri,89,229,98,1070.0,10824.0,6765.0,1655.0,416,11894.0,8420.0,28.591346153846153,20.240384615384617
2025-03-01,Assam,Dibrugarh,10,12,14,338.0,5542.0,1444.0,2315.0,36,5880.0,3759.0,163.33333333333334,104.41666666666667
2025-03-01,Assam,Hojai,27,42,20,319.0,3439.0,1585.0,1239.0,89,3758.0,2824.0,42.2247191011236,31.730337078651687
2025-03-01,Assam,Kamrup,13,20,13,319.0,5222.0,2602.0,1197.0,46,5541.0,3799.0,120.45652173913044,82.58695652173913
2025-03-01,Assam,Kokrajhar,91,169,80,538.0,3272.0,3407.0,873.0,340,3810.0,4280.0,11.205882352941176,12.588235294117647
2025-03-01,Assam,Lakhimpur,25,34,42,577.0,9766.0,1470.0,1353.0,101,10343.0,2823.0,102.4059405940594,27.95049504950495
2025-03-01,Assam,Marigaon,117,184,245,1006.0,7948.0,2305.0,1218.0,546,8954.0,3523.0,16.399267399267398,6.4523809523809526
2025-03-01,Assam,Nagaon,19,15,22,1216.0,16723.0,3208.0,5081.0,56,17939.0,8289.0,320.3392857142857,148.01785714285714
2025-03-01,Assam,Sonitpur,10,28,43,802.0,9796.0,1830.0,1158.0,81,10598.0,2988.0,130.8395061728395,36.888888888888886
2025-03-01,Assam,Tinsukia,84,170,101,499.0,7786.0,1135.0,846.0,355,8285.0,1981.0,23.338028169014084,5.580281690140845
2025-03-01,Assam,Udalguri,10,46,34,367.0,4869.0,2332.0,951.0,90,5236.0,3283.0,58.17777777777778,36.477777777777774
2025-03-01,Bihar,Bhagalpur,13,40,18,4949.0,37353.0,13344.0,11954.0,71,42302.0,25298.0,595.8028169014085,356.3098591549296
2025-03-01,Bihar,Madhubani,46,235,49,3407.0,41495.0,16996.0,20887.0,330,44902.0,37883.0,136.06666666666666,114.7969696969697
2025-03-01,Bihar,Muzaffarpur,24,40,10,4456.0,42818.0,13651.0,18161.0,74,47274.0,31812.0,638.8378378378378,429.8918918918919
2025-03-01,Bihar,Pashchim Champaran,25,88,13,0.0,0.0,0.0,0.0,126,0.0,0.0,0.0,0.0
2025-03-01,Bihar,Patna,12,52,16,4807.0,41971.0,11916.0,18174.0,80,46778.0,30090.0,584.725,376.125
2025-03-01,Bihar,Purbi Champaran,60,241,35,0.0,0.0,0.0,0.0,336,0.0,0.0,0.0,0.0
2025-03-01,Bihar,Sitamarhi,336,696,303,3044.0,36696.0,11896.0,16604.0,1335,39740.0,28500.0,29.767790262172284,21.348314606741575
2025-03-01,Chhattisgarh,Bijapur,66,31,63,294.0,3385.0,1452.0,1742.0,160,3679.0,3194.0,22.99375,19.9625
2025-03-01,Chhattisgarh,Raipur,49,15,36,1175.0,20034.0,2737.0,9682.0,100,21209.0,12419.0,212.09,124.19
2025-03-01,Delhi,North West Delhi,35,15,10,6373.0,62825.0,15709.0,29195.0,60,69198.0,44904.0,1153.3,748.4
2025-03-01,Delhi,West Delhi,146,87,75,4328.0,45156.0,8635.0,15644.0,308,49484.0,24279.0,160.66233766233765,78.82792207792208
2025-03-01,Gujarat,Banas Kantha,408,223,175,0.0,0.0,0.0,0.0,806,0.0,0.0,0.0,0.0
2025-03-01,Gujarat,Dohad,32,37,41,42.0,920.0,192.0,1688.0,110,962.0,1880.0,8.745454545454546,17.09090909090909
2025-03-01,Gujarat,Kachchh,33,13,10,2113.0,10502.0,9380.0,6902.0,56,12615.0,16282.0,225.26785714285714,290.75
2025-03-01,Gujarat,Morbi,36,12,23,552.0,2353.0,2220.0,1289.0,71,2905.0,3509.0,40.91549295774648,49.42253521126761
2025-03-01,Gujarat,Patan,141,26,23,988.0,6330.0,3086.0,4716.0,190,7318.0,7802.0,38.51578947368421,41.06315789473684
2025-03-01,Gujarat,Vadodara,36,43,10,3492.0,27140.0,7894.0,17180.0,89,30632.0,25074.0,344.17977528089887,281.7303370786517
2025-03-01,Haryana,Faridabad,80,60,10,2675.0,21482.0,5798.0,8083.0,150,24157.0,13881.0,161.04666666666665,92.54
2025-03-01,Haryana,Gurugram,18,19,13,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
2025-03-01,Jharkhand,Deoghar,12,25,18,839.0,25753.0,5230.0,5790.0,55,26592.0,11020.0,483.4909090909091,200.36363636363637
2025-03-01,Karnataka,Bengaluru Urban,309,192,231,0.0,0.0,0.0,0.0,732,0.0,0.0,0.0,0.0
2025-03-01,Madhya Pradesh,Bhind,54,33,22,1482.0,13377.0,4405.0,3388.0,109,14859.0,7793.0,136.32110091743118,71.4954128440367
2025-03-01,Madhya Pradesh,Gwalior,179,86,62,2014.0,15266.0,7276.0,7161.0,327,17280.0,14437.0,52.84403669724771,44.149847094801224
2025-03-01,Madhya Pradesh,Katni,53,42,11,967.0,10714.0,3239.0,8903.0,106,11681.0,12142.0,110.19811320754717,114.54716981132076
2025-03-01,Maharashtra,Aurangabad,196,103,46,1241.0,20315.0,11805.0,21622.0,345,21556.0,33427.0,62.481159420289856,96.88985507246377
2025-03-01,Maharashtra,Parbhani,17,14,37,723.0,13719.0,9812.0,10952.0,68,14442.0,20764.0,212.38235294117646,305.3529411764706
2025-03-01,Maharashtra,Thane,19,13,15,6005.0,69162.0,13203.0,38556.0,47,75167.0,51759.0,1599.2978723404256,1101.2553191489362
2025-03-01,Meghalaya,East Khasi Hills,44,92,164,669.0,5210.0,840.0,1744.0,300,5879.0,2584.0,19.596666666666668,8.613333333333333
2025-03-01,Meghalaya,Ri Bhoi,30,11,26,331.0,3073.0,213.0,213.0,67,3404.0,426.0,50.80597014925373,6.358208955223881
2025-03-01,Meghalaya,West Jaintia Hills,315,53,142,493.0,3436.0,596.0,335.0,510,3929.0,931.0,7.703921568627451,1.8254901960784313
2025-03-01,Meghalaya,West Khasi Hills,118,113,442,586.0,4691.0,327.0,392.0,673,5277.0,719.0,7.841010401188707,1.0683506686478454
2025-03-01,Punjab,Amritsar,14,15,20,868.0,13927.0,7560.0,16513.0,49,14795.0,24073.0,301.9387755102041,491.2857142857143
2025-03-01,Punjab,Ludhiana,104,13,14,1538.0,21750.0,11042.0,18144.0,131,23288.0,29186.0,177.7709923664122,222.793893129771
2025-03-01,Rajasthan,Sikar,41,36,17,2628.0,22158.0,7418.0,12553.0,94,24786.0,19971.0,263.6808510638298,212.45744680851064
2025-03-01,Tamil Nadu,Kanchipuram,12,12,10,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0
2025-03-01,Uttar Pradesh,Agra,280,494,132,3075.0,31323.0,15175.0,9350.0,906,34398.0,24525.0,37.966887417218544,27.06953642384106
2025-03-01,Uttar Pradesh,Aligarh,226,353,44,3209.0,43493.0,17052.0,5512.0,623,46702.0,22564.0,74.96308186195827,36.21829855537721
2025-03-01,Uttar Pradesh,Bahraich,69,241,61,1873.0,28463.0,19150.0,8314.0,371,30336.0,27464.0,81.76819407008087,74.02695417789758
2025-03-01,Uttar Pradesh,Banda,31,24,11,773.0,16638.0,9193.0,5651.0,66,17411.0,14844.0,263.8030303030303,224.9090909090909
2025-03-01,Uttar Pradesh,Bulandshahr,19,32,10,3371.0,34208.0,15326.0,4600.0,61,37579.0,19926.0,616.0491803278688,326.655737704918
2025-03-01,Uttar Pradesh,Firozabad,93,77,21,1230.0,19481.0,8402.0,3036.0,191,20711.0,11438.0,108.43455497382199,59.8848167539267
2025-03-01,Uttar Pradesh,Gautam Buddha Nagar,175,636,72,2558.0,21789.0,6854.0,4672.0,883,24347.0,11526.0,27.57304643261608,13.053227633069083
2025-03-01,Uttar Pradesh,Ghaziabad,129,471,89,4532.0,48594.0,12856.0,9597.0,689,53126.0,22453.0,77.10595065312046,32.587808417997095
2025-03-01,Uttar Pradesh,Gorakhpur,13,36,11,4752.0,44058.0,8891.0,12567.0,60,48810.0,21458.0,813.5,357.6333333333333
2025-03-01,Uttar Pradesh,Jaunpur,70,213,51,3692.0,41667.0,11173.0,8584.0,334,45359.0,19757.0,135.80538922155688,59.15269461077844
2025-03-01,Uttar Pradesh,Kanpur Nagar,47,138,23,2609.0,34198.0,9586.0,8989.0,208,36807.0,18575.0,176.95673076923077,89.30288461538461
2025-03-01,Uttar Pradesh,Lucknow,23,102,17,3206.0,35781.0,13425.0,10231.0,142,38987.0,23656.0,274.556338028169,166.59154929577466
2025-03-01,Uttar Pradesh,Maharajganj,54,181,47,2613.0,34402.0,5914.0,5062.0,282,37015.0,10976.0,131.25886524822695,38.92198581560284
2025-03-01,Uttar Pradesh,Mathura,39,40,42,2743.0,33126.0,9952.0,4171.0,121,35869.0,14123.0,296.43801652892563,116.71900826446281
2025-03-01,Uttar Pradesh,Saharanpur,91,152,10,2099.0,27065.0,14541.0,8274.0,253,29164.0,22815.0,115.27272727272727,90.17786561264822
2025-03-01,Uttar Pradesh,Unnao,34,136,33,1779.0,33548.0,12044.0,5765.0,203,35327.0,17809.0,174.02463054187191,87.72906403940887
2025-03-01,Uttarakhand,Dehradun,123,43,10,1561.0,14983.0,4603.0,6951.0,176,16544.0,11554.0,94.0,65.64772727272727
2025-03-01,Uttarakhand,Haridwar,17,15,28,1765.0,15728.0,3420.0,4653.0,60,17493.0,8073.0,291.55,134.55
2025-03-01,Uttarakhand,Nainital,46,18,11,720.0,5685.0,2496.0,3088.0,75,6405.0,5584.0,85.4,74.45333333333333
2025-03-01,West Bengal,Coochbehar,19,12,19,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
2025-03-01,West Bengal,Dinajpur Uttar,26,18,27,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0
2025-04-01,Assam,Baksa,408,483,187,0.0,0.0,2598.0,474.0,1078,0.0,3072.0,0.0,2.849721706864564
2025-04-01,Assam,Barpeta,138,54,23,0.0,0.0,9902.0,2067.0,215,0.0,11969.0,0.0,55.669767441860465
2025-04-01,Assam,Biswanath,104,114,32,0.0,0.0,1463.0,323.0,250,0.0,1786.0,0.0,7.144
